timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618845946862,1674,api/login,200,OK,Thread Group 1-1,text,true,,1113,520,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,1674,0,1562
1618845947629,892,api/login,200,OK,Thread Group 1-2,text,true,,1113,520,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,888,0,795
1618845948569,18,api/areas/district-city,200,OK,Thread Group 1-1,text,true,,1807,608,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,18,0,0
1618845948571,18,api/areas/district-city,200,OK,Thread Group 1-2,text,true,,1807,608,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,18,0,0
1618845948590,18,api/areas/sub-district/32.17,200,OK,Thread Group 1-2,text,true,,1938,613,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,18,0,0
1618845948590,18,api/areas/sub-district/32.17,200,OK,Thread Group 1-1,text,true,,1938,613,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,18,0,0
1618845948609,19,api/areas/village/32.17.09,200,OK,Thread Group 1-2,text,true,,1288,611,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,19,0,0
1618845948612,20,api/areas/village/32.17.09,200,OK,Thread Group 1-1,text,true,,1288,611,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,20,0,0
1618845948633,173,api/areas/hospital,200,OK,Thread Group 1-1,text,true,,183448,617,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,26,0,0
1618845948629,182,api/areas/hospital,200,OK,Thread Group 1-2,text,true,,183448,617,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,28,0,0
1618845948807,28,api/country,200,OK,Thread Group 1-1,text,true,,8954,596,3,3,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,26,0,0
1618845946614,1931,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-1,,true,,198548,3565,3,3,null,1782,277,1562
1618845948680,513,api/login,200,OK,Thread Group 1-3,text,true,,1113,520,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,513,0,83
1618845948812,400,api/country,200,OK,Thread Group 1-2,text,true,,8954,596,2,2,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,395,0,0
1618845947627,1529,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-2,,true,,198548,3565,2,2,null,1366,57,795
1618845949195,19,api/areas/district-city,200,OK,Thread Group 1-3,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,18,0,0
1618845949215,81,api/areas/sub-district/32.17,200,OK,Thread Group 1-3,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,81,0,0
1618845949297,15,api/areas/village/32.17.09,200,OK,Thread Group 1-3,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,15,0,0
1618845949313,206,api/areas/hospital,200,OK,Thread Group 1-3,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,85,0,0
1618845949519,18,api/country,200,OK,Thread Group 1-3,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,17,0,0
1618845948673,852,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-3,,true,,198548,3565,1,1,null,729,13,83
1618845949632,138,api/login,200,OK,Thread Group 1-4,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,138,0,55
1618845949771,122,api/areas/district-city,200,OK,Thread Group 1-4,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,121,0,0
1618845949893,16,api/areas/sub-district/32.17,200,OK,Thread Group 1-4,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,16,0,0
1618845949909,88,api/areas/village/32.17.09,200,OK,Thread Group 1-4,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,88,0,0
1618845949998,162,api/areas/hospital,200,OK,Thread Group 1-4,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,22,0,0
1618845950160,33,api/country,200,OK,Thread Group 1-4,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,31,0,0
1618845949631,559,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-4,,true,,198548,3565,1,1,null,416,3,55
1618845950608,181,api/login,200,OK,Thread Group 1-5,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,181,0,53
1618845950790,16,api/areas/district-city,200,OK,Thread Group 1-5,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,16,0,0
1618845950806,17,api/areas/sub-district/32.17,200,OK,Thread Group 1-5,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,17,0,0
1618845950824,16,api/areas/village/32.17.09,200,OK,Thread Group 1-5,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,16,0,0
1618845950841,309,api/areas/hospital,200,OK,Thread Group 1-5,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,19,0,0
1618845951151,30,api/country,200,OK,Thread Group 1-5,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,29,0,0
1618845950607,569,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-5,,true,,198548,3565,1,1,null,278,6,53
1618845951609,198,api/login,200,OK,Thread Group 1-6,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,198,0,55
1618845951811,30,api/areas/district-city,200,OK,Thread Group 1-6,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,30,0,0
1618845951842,17,api/areas/sub-district/32.17,200,OK,Thread Group 1-6,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,17,0,0
1618845951860,18,api/areas/village/32.17.09,200,OK,Thread Group 1-6,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,18,0,0
1618845951878,197,api/areas/hospital,200,OK,Thread Group 1-6,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,31,0,0
1618845952076,21,api/country,200,OK,Thread Group 1-6,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,18,0,0
1618845951608,481,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-6,,true,,198548,3565,1,1,null,312,5,55
1618845952611,233,api/login,200,OK,Thread Group 1-7,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,233,0,71
1618845952846,269,api/areas/district-city,200,OK,Thread Group 1-7,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,269,0,0
1618845953116,30,api/areas/sub-district/32.17,200,OK,Thread Group 1-7,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,30,0,0
1618845953147,20,api/areas/village/32.17.09,200,OK,Thread Group 1-7,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,20,0,0
